Price,Close,Volume
Ticker,SPY,SPY
Date,,
2012-06-14,104.41796875,230615500
2012-06-15,105.48587799072266,169444500
2012-06-18,105.69033813476562,131360900
2012-06-19,106.71261596679688,137382600
2012-06-20,106.53964233398438,206451800
2012-06-21,104.14900207519531,205272200
2012-06-22,104.95111846923828,130029200
2012-06-25,103.26830291748047,146375700
2012-06-26,103.78726196289062,141634000
2012-06-27,104.72306060791016,108088000
2012-06-28,104.42426300048828,169242100
2012-06-29,107.02715301513672,212250900
2012-07-02,107.34960174560547,129524500
2012-07-03,108.05736541748047,80450000
2012-07-05,107.56979370117188,126177500
2012-07-06,106.54749298095703,151192100
2012-07-09,106.4138412475586,103780500
2012-07-10,105.48587799072266,167884800
2012-07-11,105.5016098022461,141733400
2012-07-12,104.99042510986328,143583200
2012-07-13,106.751953125,129642600
2012-07-16,106.50031280517578,97525200
2012-07-17,107.23167419433594,138860300
2012-07-18,108.0258560180664,113349700
2012-07-19,108.3089828491211,129847300
2012-07-20,107.31814575195312,142904500
2012-07-23,106.23297119140625,145210900
2012-07-24,105.32073211669922,173301200
2012-07-25,105.34431457519531,129122300
2012-07-26,107.08223724365234,156526500
2012-07-27,109.0560531616211,236768900
2012-07-30,109.0560531616211,106782000
2012-07-31,108.29328155517578,120575900
2012-08-01,108.1988754272461,138293800
2012-08-02,107.45186614990234,199556600
2012-08-03,109.58296203613281,157825000
2012-08-06,109.79525756835938,86326200
2012-08-07,110.34574890136719,109545100
2012-08-08,110.47943115234375,89754700
2012-08-09,110.57376861572266,90291700
2012-08-10,110.75470733642578,99792700
2012-08-13,110.69965362548828,79426900
2012-08-14,110.71532440185547,102379400
2012-08-15,110.84115600585938,71085900
2012-08-16,111.65899658203125,112014200
2012-08-17,111.80842590332031,90813700
2012-08-20,111.81634521484375,78255700
2012-08-21,111.4781494140625,105581100
2012-08-22,111.52527618408203,133243500
2012-08-23,110.61312866210938,111466400
2012-08-24,111.28156280517578,99481200
2012-08-27,111.30513763427734,68785900
2012-08-28,111.1950454711914,75689600
2012-08-29,111.28156280517578,65421300
2012-08-30,110.47943115234375,96589900
2012-08-31,111.00628662109375,151970400
2012-09-04,110.90408325195312,120226200
2012-09-05,110.8097152709961,100660300
2012-09-06,113.05874633789062,158272500
2012-09-07,113.49920654296875,107272100
2012-09-10,112.85428619384766,86458500
2012-09-11,113.16889190673828,88760000
2012-09-12,113.54634094238281,87640900
2012-09-13,115.27635955810547,225470200
2012-09-14,115.78751373291016,169777000
2012-09-17,115.39436340332031,119427800
2012-09-18,115.29998779296875,98326600
2012-09-19,115.36288452148438,128318300
2012-09-20,115.37073516845703,154009800
2012-09-21,115.3224868774414,108737500
2012-09-24,115.1485824584961,95682000
2012-09-25,113.9231948852539,133165200
2012-09-26,113.28279876708984,146502200
2012-09-27,114.35009765625,111830300
2012-09-28,113.82044219970703,150696100
2012-10-01,114.12084197998047,135911200
2012-10-02,114.23944854736328,113422200
2012-10-03,114.70584869384766,121283100
2012-10-04,115.52811431884766,124311600
2012-10-05,115.53596496582031,124842100
2012-10-08,115.1406478881836,78415400
2012-10-09,114.00223541259766,148872900
2012-10-10,113.27490234375,124247500
2012-10-11,113.33817291259766,123601500
2012-10-12,112.96656036376953,124181900
2012-10-15,113.90740203857422,107689100
2012-10-16,115.0616455078125,108815500
2012-10-17,115.58346557617188,128834100
2012-10-18,115.28304290771484,148108500
2012-10-19,113.36181640625,185645200
2012-10-22,113.37767028808594,125578600
2012-10-23,111.80440521240234,192056300
2012-10-24,111.48821258544922,120179400
2012-10-25,111.81229400634766,134457400
2012-10-26,111.74906158447266,146023500
2012-10-31,111.74906158447266,103438500
2012-11-01,112.91918182373047,100995600
2012-11-02,111.91510009765625,137702200
2012-11-05,112.14437866210938,98378500
2012-11-06,113.02194213867188,107068100
2012-11-07,110.46044158935547,264304500
2012-11-08,109.13223266601562,181517300
2012-11-09,109.22711944580078,201055300
2012-11-12,109.31407928466797,97677500
2012-11-13,108.93457794189453,123018300
2012-11-14,107.46414184570312,191505000
2012-11-15,107.28227233886719,178128400
2012-11-16,107.81194305419922,239483900
2012-11-19,109.99398040771484,151495800
2012-11-20,110.04142761230469,119807400
2012-11-21,110.24694061279297,81710800
2012-11-23,111.74906158447266,65409200
2012-11-26,111.51192474365234,100124400
2012-11-27,110.94271087646484,128646200
2012-11-28,111.83606719970703,177086500
2012-11-29,112.35785675048828,151085900
2012-11-30,112.3815689086914,136568300
2012-12-03,111.82810974121094,124656300
2012-12-04,111.6700439453125,127512200
2012-12-05,111.86766052246094,147300500
2012-12-06,112.24718475341797,103220600
2012-12-07,112.58714294433594,108726400
2012-12-10,112.6345443725586,98840700
2012-12-11,113.40145111083984,152570400
2012-12-12,113.45671081542969,145880100
2012-12-13,112.76101684570312,135715000
2012-12-14,112.34201049804688,137701700
2012-12-17,113.6622543334961,143238200
2012-12-18,114.92723846435547,177762800
2012-12-19,114.07344818115234,150895400
2012-12-20,114.72956848144531,168487000
2012-12-21,113.68818664550781,245883800
2012-12-24,113.33782958984375,53874600
2012-12-26,112.86015319824219,106947700
2012-12-27,112.70884704589844,167920600
2012-12-28,111.49063873291016,148806700
2012-12-31,113.38565063476562,243935200
2013-01-02,116.29170227050781,192059000
2013-01-03,116.02893829345703,144761800
2013-01-04,116.53852844238281,116817700
2013-01-07,116.2200698852539,110002500
2013-01-08,115.88561248779297,121265100
2013-01-09,116.18029022216797,90745600
2013-01-10,117.10382080078125,130735400
2013-01-11,117.09587097167969,113917300
2013-01-14,117.01622772216797,89567200
