n,rep,score_bf,score_h,approx_ratio,exact_match
16,50,-0.7977472062886521,-0.7769630786642939,0.9739464739449832,0
16,51,-0.8580319086969322,-0.8580319086969322,1.0,1
16,52,-0.9030875148347167,-0.9030875148347165,0.9999999999999998,1
16,53,-0.8194407956406684,-0.8053947668522214,0.9828590071873767,0
16,54,-0.6544666631809143,-0.6544666631809143,1.0,1
16,55,-0.6564446136086172,-0.6564446136086173,1.0,1
16,56,-0.7974195249860676,-0.7974195249860676,1.0,1
16,57,-0.8955081117617354,-0.7883222241826356,0.8803071840764986,0
16,58,-0.7080492992306595,-0.669381462913375,0.9453882146916894,0
16,59,-0.8615797455160811,-0.8615797455160812,1.0,1
16,60,-0.8058685350141851,-0.7946070139140119,0.9860256101201731,0
16,61,-0.7046991833609144,-0.7046991833609141,0.9999999999999996,1
16,62,-0.47827058090308866,-0.46138991440658794,0.9647047776498693,0
16,63,-0.6964969588510463,-0.6494682520325017,0.9324782309227537,0
16,64,-0.6802243492188609,-0.6795465860510643,0.9990036181907118,0
16,65,-0.7029710445215785,-0.6971904695779267,0.9917769373451422,0
16,66,-0.8211609718778584,-0.676558382027949,0.8239046973710559,0
16,67,-0.7422967805915941,-0.7422967805915943,1.0,1
16,68,-0.8763941665110542,-0.8763941665110541,0.9999999999999999,1
16,69,-0.6825951137006319,-0.6825951137006319,1.0,1
16,70,-0.8422532967538751,-0.842253296753875,0.9999999999999999,1
16,71,-0.8364528130001555,-0.8364528130001555,1.0,1
16,72,-0.6940405427661505,-0.6940405427661506,1.0,1
16,73,-0.8955343663891397,-0.883253430853634,0.9862864720814418,0
16,74,-0.8102651402480405,-0.7873703233625736,0.9717440430937726,0
16,75,-0.7612977526319903,-0.7612977526319904,1.0,1
16,76,-0.7964830862308049,-0.7777196444429071,0.9764421340361513,0
16,77,-0.746420840975809,-0.6964004605774234,0.9329863561513194,0
16,78,-0.8780403965787554,-0.8780403965787553,0.9999999999999999,1
16,79,-0.8480161236710843,-0.8480161236710845,1.0,1
